RecipeName,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,TranslatedInstructions,
 Chana Masala (Kerala Style),"Chickpeas – 1 cup
Onion – 2, chopped
Tomato – 1, chopped
Ginger-garlic paste – 1 tbsp
Garam masala – 1 tsp
Coconut oil – 2 tbsp",15 minutes,25 minutes,40 minutes,4,Kerala,Main Course,Vegetarian,"Soak and cook chickpeas.
Sauté onions and tomatoes in coconut oil with spices.
Add cooked chickpeas, and simmer until the curry thickens.",
 Parippu Curry (Dal Curry),"Yellow moong dal – 1 cup
Onion – 1, chopped
Tomato – 1, chopped
Coconut milk – ½ cup
Turmeric powder – ½ tsp
Coconut oil – 1 tbsp",10 minutes,20 minutes,30 minutes,4,kerala,Main Course,Vegetarian,"Cook moong dal with turmeric until soft.
Sauté onions and tomatoes in coconut oil.
Add cooked dal and coconut milk, cook for a few minutes.
",
Olan,"Ash gourd – 2 cups, cubed
Black-eyed peas – ½ cup
Coconut milk – 1 cup
Green chilies – 2
Curry leaves – a few sprigs
Coconut oil – 1 tbsp",10 minutes,20 minutes,30 minutes,4,kerala,Main Course,Vegetarian,"Cook ash gourd and black-eyed peas until tender.
Add coconut milk, green chilies, and curry leaves.
Cook for a few minutes and drizzle with coconut oil.",
Dosa,"Rice – 1 cup
Urad dal (split black gram) – ½ cup
Fenugreek seeds – 1 tsp
Salt – to taste
Oil – for frying",10 minutes,15 minutes,25 minutes,4,kerala,Breakfast,Vegetarian,"Soak rice, urad dal, and fenugreek overnight.
Grind into a smooth batter and let it ferment for 8 hours.
Fry thin dosas on a hot griddle with oil, and serve with chutney.
",
 Kallappam,"Rice flour – 2 cups
Coconut milk – 1 cup
Yeast – 1 tsp
Salt – to taste",15 minutes,10 minutes,25 minutes,4,kerala,Breakfast,Vegetarian,"Mix rice flour, coconut milk, yeast, and salt to form a batter.
Let it ferment for 2-3 hours.
Pour the batter into a pan and cook until the edges turn crispy.
",
Vada,"Urad dal (split black gram) – 1 cup
Onion – 1, finely chopped
Green chilies – 2, chopped
Ginger – 1 inch, chopped
Curry leaves – a few sprigs
Oil – for frying",15 minutes,15 minutes,30 minutes,4,kerala,Breakfast,Vegetarian,"Soak urad dal for 4-6 hours, then grind into a coarse paste.
Mix with chopped onion, chilies, ginger, and curry leaves.
Shape into doughnuts and deep fry until golden brown.
",
Unniyappam,"Rice flour – 1 cup
Jaggery – ½ cup
Banana – 1, mashed
Cardamom powder – ½ tsp
Ghee – 2 tbsp
Oil – for frying",15 minutes,10 minutes,25 minutes,4,kerala,Breakfast,Vegetarian,"Melt jaggery and mix with mashed banana, rice flour, and cardamom powder.
Heat oil and ghee in a unniyappam pan.
Pour batter into molds and cook until golden brown.",
 Muttamala,"Eggs – 3
Sugar – ½ cup
Water – 1 cup
Cardamom powder – ½ tsp
Ghee – 1 tbsp",10 minutes,15 minutes,25 minutes,4,kerala,Breakfast,Vegetarian,"Whisk eggs and sugar in a bowl.
Boil water, then pour in the egg-sugar mixture and cook until it forms threads.
Garnish with cardamom and ghee.
",
 Kalanada (Kerala Style Porridge),"Rice – 1 cup
Water – 4 cups
Coconut milk – 1 cup
Jaggery – ½ cup
Cardamom powder – ½ tsp",10 minutes,15 minutes,25 minutes,4,kerala,Breakfast,Vegetarian,"Cook rice with water until soft.
Add jaggery and cook until it dissolves.
Stir in coconut milk and cardamom, simmer for a few minutes.",
Semiya Upma (Vermicelli Upma),"Semiya (vermicelli) – 1 cup
Onion – 1, chopped
Green chilies – 2, chopped
Mustard seeds – ½ tsp
Coconut oil – 1 tbsp
Curry leaves – a few sprigs",10 minutes,10 minutes,20 minutes,4,kerala,Breakfast,Vegetarian,"Roast the semiya in a dry pan and set aside.
Sauté mustard seeds, onions, and green chilies in coconut oil.
Add water, salt, and roasted semiya, cook until soft, and garnish with curry leaves.",
Pesarattu (Green Gram Pancake),"Green gram (moong dal) – 1 cup
Ginger – 1-inch piece
Green chilies – 2
Salt – to taste
Oil – for frying",15 minutes,10 minutes,25 minutes,4,Kerala,Breakfast,Vegetarian,"Soak green gram for 4-6 hours, then grind with ginger and green chilies into a smooth batter.
Heat a pan, pour the batter, and spread it into a thin pancake.
Cook until both sides are crispy and serve with chutney.
",
Coconut Rice,"Rice – 1 cup
Grated coconut – ½ cup
Mustard seeds – ½ tsp
Green chilies – 2, chopped
Curry leaves – a few sprigs
Oil – 1 tbsp",10 minutes,15 minutes,25 minutes,4,Kerala,Breakfast,Vegetarian,"Cook rice and set aside.
Sauté mustard seeds, green chilies, and curry leaves in oil.
Stir in grated coconut and cooked rice, mix well, and serve hot.
",
 Egg Biryani,"Basmati rice – 2 cups
Eggs – 4, boiled
Onion – 1, sliced
Tomatoes – 2, chopped
Garam masala – 1 tsp
Ghee – 2 tbsp
Salt – to taste",15 minutes,25 minutes,45 minutes,4,Kerala,Main Course,Non-Vegetarian,"Cook basmati rice and set aside.
Sauté onions and tomatoes with garam masala in ghee.
Add boiled eggs, cook for a few minutes, and mix with rice.
Serve hot with raita or salad.",
 Tomato Rice,"Rice – 2 cups
Tomatoes – 2, chopped
Onion – 1, chopped
Green chilies – 2, slit
Curry leaves – a few sprigs
Turmeric powder – ½ tsp
Oil – 1 tbsp
Salt – to taste",10 minutes,15 minutes,25 minutes,4,Kerala,Main Course,Non-Vegetarian,"Cook rice and set aside.
Sauté onions, green chilies, and curry leaves in oil.
Add tomatoes and turmeric powder, cook until soft.
Mix the cooked rice with the tomato mixture and serve hot.",
 Lemon Rice,"Rice – 2 cups
Lemon – 1, juiced
Mustard seeds – ½ tsp
Green chilies – 2, chopped
Turmeric powder – ½ tsp
Curry leaves – a few sprigs
Oil – 1 tbsp
Salt – to taste",10 minutes,10 minutes,20 minutes,4,Kerala,Main Course,Vegetarian,"Cook rice and set aside.
Heat oil, sauté mustard seeds, green chilies, and curry leaves.
Add turmeric powder and mix with cooked rice.
Stir in lemon juice and salt, and serve hot.",
 Fried Rice (Kerala Style),"Cooked rice – 2 cups
Carrot – 1, finely chopped
Beans – 1 cup, chopped
Onion – 1, chopped
Soy sauce – 1 tbsp
Oil – 2 tbsp
Salt – to taste",10 minutes,15 minutes,25 minutes,4,Kerala,Main Course,Vegetarian,"Sauté onions, carrot, and beans in oil.
Add soy sauce and cooked rice, stir-fry for a few minutes.
Add salt and serve hot.
",
 Tamarind Rice (Puliyodarai),"Rice – 2 cups
Tamarind paste – 2 tbsp
Red chilies – 2, chopped
Turmeric powder – ½ tsp
Mustard seeds – ½ tsp
Curry leaves – a few sprigs
Oil – 1 tbsp
Salt – to taste",10 minutes,10 minutes,20 minutes,4,Kerala,Main Course,Vegetarian,"Cook rice and set aside.
Heat oil, sauté mustard seeds, red chilies, and curry leaves.
Add tamarind paste, turmeric, and salt, cook for a few minutes.
Mix with rice and serve hot.
",
Curd Rice,"Rice – 2 cups
Yogurt (curd) – 1 cup
Mustard seeds – ½ tsp
Green chilies – 2, chopped
Curry leaves – a few sprigs
Ginger – 1-inch piece, chopped
Oil – 1 tbsp
Salt – to taste",10 minutes,10 minutes,20 minutes,4,kerala,Main Course,Vegetarian,"Cook rice and set aside to cool.
Heat oil, sauté mustard seeds, chilies, ginger, and curry leaves.
Mix with rice, add yogurt and salt, and serve chilled or at room temperature.
",
Mushroom Rice,"Rice – 2 cups
Mushrooms – 1 cup, sliced
Onion – 1, sliced
Green chilies – 2, chopped
Garam masala – 1 tsp
Oil – 1 tbsp
Salt – to taste",10 minutes,15 minutes,25 minutesw,4,kerala,Main Course,Vegetarian,"Sauté onions and green chilies in oil.
Add sliced mushrooms and garam masala, cook until soft.
Mix with cooked rice and serve hot.
",
Veg Burger (Kerala Style),"Burger buns – 4
Potato – 2, boiled and mashed
Onion – 1, finely chopped
Green chilies – 2, chopped
Ginger – 1-inch piece, chopped
Curry leaves – a few sprigs
Salt – to taste
Oil – for frying
Lettuce – a few leaves
Tomato – 1, sliced",10 minutes,15 minutes,25 minutes,4,kerala,Snack,Vegetarian,"Sauté onions, green chilies, and ginger in oil.
Mix the sautéed ingredients with mashed potatoes and salt.
Shape the mixture into patties and fry until golden.
Place patties in burger buns with lettuce, tomato, and serve hot.",
 Vegetable Pattice,"Potatoes – 3, boiled and mashed
Carrot – 1, grated
Green peas – ½ cup
Onion – 1, finely chopped
Ginger – 1-inch piece, chopped
Curry leaves – a few sprigs
Salt – to taste
Oil – for frying",10 minutes,15 minutes,25 minutes,4,kerala,Snack,Vegetarian,"Sauté onions, ginger, and curry leaves in oil.
Add grated carrots, peas, and mashed potatoes, and cook for a few minutes.
Shape the mixture into small patties and shallow fry until golden.
Serve hot with ketchup or chutney.
",
 Kerala Samosa,"All-purpose flour – 1 cup
Potato – 2, boiled and mashed
Onion – 1, chopped
Green chilies – 2, chopped
Ginger – 1-inch piece, chopped
Fennel seeds – ½ tsp
Turmeric powder – ½ tsp
Salt – to taste
Oil – for frying",10 minutes,15 minutes,25 minutes,4,kerala,Snack,Vegetarian,"Prepare dough by mixing all-purpose flour and salt with water.
Sauté onions, green chilies, ginger, and fennel seeds. Add turmeric and boiled potatoes.
Shape the dough into cones, stuff with the filling, and seal.
Deep fry until golden and serve hot.",
Prawn Cutlet,"Prawns – 200g, cleaned and chopped
Potato – 2, boiled and mashed
Onion – 1, chopped
Green chilies – 2, chopped
Curry leaves – a few sprigs
Bread crumbs – 1 cup
Egg – 1, beaten
Oil – for frying
Salt – to taste",10 minutes,15 minutes,25 minutes,,kerala,Snack,Vegetarian,"Sauté onions, green chilies, and curry leaves, then mix with boiled potato and prawns.
Shape the mixture into patties, dip in beaten egg, and coat with breadcrumbs.
Fry until golden and serve hot with chutney.
",
Sadhya Vada (Vada for Onam Sadhya),"Urad dal – 1 cup
Onion – 1, finely chopped
Green chilies – 2, chopped
Ginger – 1-inch piece, chopped
Curry leaves – a few sprigs
Salt – to taste
Oil – for frying",10 minutes,15 minutes,25 minutes,4,kerala,Snack,Vegetarian,"Soak urad dal for 2 hours, grind into a coarse batter.
Add chopped onions, green chilies, ginger, curry leaves, and salt.
Shape the batter into rings and deep fry until crispy and golden.
Serve with coconut chutney or sambar.",
 Kachori,"All-purpose flour – 1 cup
Moong dal – ½ cup, cooked
Onion – 1, chopped
Green chilies – 2, chopped
Ginger – 1-inch piece, chopped
Spices (cumin, coriander powder) – 1 tsp each
Salt – to taste
Oil – for frying",15 minutes,15 minutes,30 minutes,4,kerala,Snack,Vegetarian,"Prepare dough using all-purpose flour and salt.
Sauté onions, chilies, ginger, and spices, then mix with cooked moong dal.
Shape dough into small balls, stuff with filling, and fry until crispy.
Serve with chutney or yogurt.
",
Bread Upma,"Bread slices – 4, cut into pieces
Onion – 1, chopped
Green chilies – 2, chopped
Ginger – 1-inch piece, chopped
Curry leaves – a few sprigs
Mustard seeds – ½ tsp
Salt – to taste
Turmeric powder – ½ tsp
Oil – 1 tbsp
Water – ½ cup",10 minutes,15 minutes,25 minutes,4,kerala,Snack,Vegetarian,"Heat oil in a pan and splutter mustard seeds.
Sauté onions, green chilies, ginger, and curry leaves until soft.
Add turmeric powder and bread pieces. Stir well.
Add water, salt, and cook for a few minutes until the bread absorbs the moisture.
Serve hot as a snack.",
Bread Omelette,"Bread slices – 2
Eggs – 2
Onion – 1, chopped
Green chilies – 1, chopped
Tomato – 1, chopped
Salt – to taste
Pepper – to taste
Butter – for toasting
Coriander leaves – for garnish",10 minutes,15 minutes,25 minutes,4,kerala,Snack,Vegetarian,"Beat eggs with salt, pepper, chopped onions, tomatoes, and green chilies.
Heat butter in a pan and toast the bread slices lightly.
Pour the egg mixture over the bread slices, cook on both sides until golden.
Garnish with coriander leaves and serve hot.",
Bread Pakora,"Bread slices – 4
Potato – 2, boiled and mashed
Onion – 1, finely chopped
Green chilies – 2, chopped
Garam masala – 1 tsp
Salt – to taste
Gram flour (besan) – 1 cup
Water – as needed
Oil – for frying",10 minutes,10 minutes,20 minutes,4,kerala,Snack,Vegetarian,"Prepare the filling by mixing boiled potatoes, onions, green chilies, garam masala, and salt.
Stuff the bread slices with the potato filling and seal the edges.
Make a batter by mixing gram flour with water and a pinch of salt.
Dip the stuffed bread in the batter and deep fry until golden and crispy.
Serve hot with chutney or ketchup.",
Bread Cutlet,"Bread slices – 4, crust removed
Potato – 2, boiled and mashed
Carrot – 1, grated
Green peas – ½ cup
Onion – 1, finely chopped
Ginger-garlic paste – 1 tsp
Salt – to taste
Coriander powder – 1 tsp
Cumin powder – ½ tsp
Oil – for frying",10 minutes,10 minutes,20 minutes,4,kerala,Snack,Vegetarian,"Soak bread slices in water and squeeze out excess water.
Mix bread with mashed potatoes, grated carrot, green peas, onions, and spices.
Shape the mixture into small cutlets and fry in oil until golden.
Serve hot with chutney or ketchup.",
 Bread Roll,"Bread slices – 6
Potato – 2, boiled and mashed
Onion – 1, chopped
Green chilies – 2, chopped
Garam masala – 1 tsp
Coriander powder – 1 tsp
Salt – to taste
Fresh coriander leaves – chopped
Oil – for frying",10 minutes,15 minutes,25 minutes,4,kerala,Snack,Vegetarian,"Cut the bread slices into the edges and flatten them.
Prepare the filling by mixing boiled potatoes, onions, green chilies, spices, and fresh coriander.
Roll the bread slices with the filling inside and seal the edges.
Fry the rolls in hot oil until golden and crisp.
Serve hot with chutney or sauce.",
Bread Pudding (Kerala Style),"Bread slices – 4
Milk – 1 ½ cups
Sugar – ½ cup
Eggs – 2
Cardamom powder – ½ tsp
Raisins – 2 tbsp
Cashews – 2 tbsp
Ghee – 1 tbsp",10 minutes,20 minutes,30 minutes,4,kerala,Snack / Dessert,Vegetarian,"Tear bread slices into pieces and soak them in milk for 10 minutes.
Beat eggs with sugar, cardamom powder, and mix with soaked bread.
Add raisins and cashews to the mixture.
Pour into a greased baking dish, drizzle ghee on top, and bake for 20 minutes at 180°C.
Serve warm as a dessert or snack.",
Bread and Egg Bhurji,"Bread slices – 4, chopped
Eggs – 2
Onion – 1, chopped
Green chilies – 2, chopped
Tomato – 1, chopped
Salt – to taste
Pepper – to taste
Oil – 1 tbsp
Coriander leaves – for garnish",5 minutes,10 minutes,15 minutes,4,kerala,snack,Vegetarian,"Heat oil in a pan and sauté onions, green chilies, and tomatoes.
Scramble the eggs in the pan, add salt and pepper.
Add chopped bread pieces and mix everything together.
Cook for a few minutes until the bread becomes crispy.
Garnish with coriander leaves and serve hot.",
Kerala Style Toast,"Bread slices – 4
Eggs – 2
Milk – ½ cup
Sugar – 1 tbsp
Cinnamon powder – ½ tsp
Ghee – for frying",5 minutes,10 minutes,15 minutes,4,kerala,snack,Vegetarian,"Beat eggs with milk, sugar, and cinnamon powder.
Dip bread slices into the mixture and fry in ghee until golden.
Serve hot with honey or jam.",
Bread Masala,"Bread slices – 4, cut into cubes
Onion – 1, chopped
Tomatoes – 2, chopped
Green chilies – 2, chopped
Ginger-garlic paste – 1 tsp
Cumin powder – 1 tsp
Coriander powder – 1 tsp
Garam masala – ½ tsp
Oil – for frying
Salt – to taste",5 minutes,10 minutes,15 minutes,4,kerala,snack,Vegetarian,"Fry bread cubes in a little oil until crispy.
Sauté onions, tomatoes, green chilies, and ginger-garlic paste.
Add spices and mix well.
Add the fried bread cubes to the masala and cook for a few minutes.
Serve hot as a snack.",
Spicy Bread Rolls,"Bread slices – 6
Potato – 2, boiled and mashed
Onion – 1, chopped
Green chilies – 2, chopped
Chaat masala – 1 tsp
Cumin powder – ½ tsp
Salt – to taste
Oil – for frying",5 minutes,10 minutes,15 minutes,4,kerala,snack,Vegetarian,"Mix mashed potatoes, onions, green chilies, and spices.
Roll the mixture into small rolls and coat with breadcrumbs.
Fry the rolls in hot oil until golden.
Serve hot with tamarind chutney.",
Chicken Cutlet,"Chicken breast – 500g, boiled and shredded
Potato – 2, boiled and mashed
Onion – 1, finely chopped
Green chilies – 2, chopped
Ginger-garlic paste – 1 tsp
Garam masala – 1 tsp
Bread crumbs – 1 cup
Egg – 1, beaten
Oil – for frying
Salt – to taste",10 minutes,15 minutes,25 minutesw,4,kerala,Snack / Dessert,Non-Vegetarian,"Mix boiled chicken, mashed potatoes, chopped onions, green chilies, ginger-garlic paste, and spices.
Shape the mixture into small cutlets and dip in beaten egg, then coat with breadcrumbs.
Heat oil in a pan and fry the cutlets until golden brown.
Serve hot with chutney or ketchup.",
Malabar Fish Fry,"Fish fillets (kingfish or any firm fish) – 4
Red chili powder – 1 tsp
Turmeric powder – ½ tsp
Ginger-garlic paste – 1 tsp
Lemon juice – 2 tbsp
Curry leaves – 1 sprig
Salt – to taste
Oil – for frying",10 minutes,15 minutes,25 minutes,4,kerala,Snack ,Non-Vegetarian,"Marinate the fish fillets with red chili powder, turmeric powder, ginger-garlic paste, lemon juice, curry leaves, and salt for 15 minutes.
Heat oil in a pan and fry the fish fillets on both sides until golden and crispy.
Serve hot with a side of lemon wedges.",
 Chicken Shawarma (Kerala Style),"Chicken thighs – 500g, boneless
Yogurt – ¼ cup
Lemon juice – 2 tbsp
Garlic – 4 cloves, minced
Garam masala – 1 tsp
Cumin powder – ½ tsp
Red chili powder – 1 tsp
Salt – to taste
Oil – for grilling
Pita bread – for serving",10 minutes,15 minutes,25 minutes,4,kerala,Snack ,Non-Vegetarian,"Marinate the chicken with yogurt, lemon juice, garlic, spices, and salt for 30 minutes.
Grill the chicken on medium heat for 15-20 minutes or until fully cooked.
Serve the grilled chicken in pita bread with garlic sauce and vegetables.",
 Kerala Style Fish Cutlet,"Fish fillets (any firm fish) – 300g
Potato – 2, boiled and mashed
Onion – 1, finely chopped
Green chilies – 2, chopped
Ginger-garlic paste – 1 tsp
Curry leaves – a few sprigs
Bread crumbs – for coating
Egg – 1, beaten
Salt – to taste
Oil – for frying",15 minutes,15 minutes,30 minutes,4,kerala,Snack ,Non-Vegetarian,"Boil the fish and mash it together with boiled potatoes.
Sauté onions, green chilies, and curry leaves, then add to the fish mixture.
Shape the mixture into cutlets, dip in beaten egg, and coat with breadcrumbs.
Fry in hot oil until golden brown.
Serve hot with chutney or ketchup.",
 Mutton Shami Kebab,"Mutton – 300g, minced
Split chickpeas (chana dal) – ¼ cup
Onion – 1, finely chopped
Green chilies – 2, chopped
Ginger-garlic paste – 1 tsp
Garam masala – 1 tsp
Fresh coriander leaves – chopped
Egg – 1, beaten
Oil – for frying
Salt – to taste",10 minutes,25 minutes,35 minutes,4,kerala,Snack ,Non-Vegetarian,"Boil the minced mutton and chana dal with ginger-garlic paste until soft.
Grind the mixture into a smooth paste and mix with onions, green chilies, garam masala, and coriander leaves.
Shape the mixture into small kebabs and dip in beaten egg.
Fry the kebabs in hot oil until crispy and golden.
Serve hot with mint chutney.",
 Kerala Style Chicken 65,"Chicken – 500g, boneless
Red chili powder – 1 tsp
Ginger-garlic paste – 1 tsp
Curry leaves – 1 sprig
Cornflour – 2 tbsp
Rice flour – 1 tbsp
Lemon juice – 1 tbsp
Salt – to taste
Oil – for frying",10 minutes,15 minutes,25 minutes,4,kerala,Snack ,Non-Vegetarian,"Marinate chicken with red chili powder, ginger-garlic paste, salt, and lemon juice for 30 minutes.
Coat chicken pieces with cornflour, rice flour, and fry them in hot oil until crispy.
Garnish with curry leaves and serve hot.",
Mutta Surka (Egg Bonda),"Eggs – 4, boiled
Onion – 1, finely chopped
Green chilies – 2, chopped
Ginger-garlic paste – 1 tsp
Chana flour (Besan) – 1 cup
Rice flour – 2 tbsp
Salt – to taste
Oil – for frying",10 minutes,15 minutes,25 minutes,4,kerala,Snack ,Non-Vegetarian,"Peel and cut the boiled eggs in half.
Mix besan, rice flour, onions, green chilies, ginger-garlic paste, and salt to form a thick batter.
Dip each egg half into the batter and deep fry until golden brown.
Serve hot with chutney.",
Keralan Style Prawn Masala Balls (Kulukki Prawns),"Prawns – 250g, cleaned
Onion – 1, finely chopped
Green chilies – 2, chopped
Ginger-garlic paste – 1 tsp
Garam masala – 1 tsp
Rice flour – 2 tbsp
Salt – to taste
Oil – for frying",10 minutes,15 minutes,25 minutes,4,kerala,Snack ,Non-Vegetarian,"Mince the prawns finely and mix with onions, green chilies, ginger-garlic paste, garam masala, and salt.
Add rice flour and form small balls.
Deep fry the balls until golden and crispy.
Serve hot with a tangy dip.",
Vegetable Samosa,"Potatoes – 2, boiled and mashed
Carrot – 1, grated
Green peas – ½ cup
Onion – 1, chopped
Green chilies – 2, chopped
Garam masala – 1 tsp
Maida (All-purpose flour) – 1 cup
Salt – to taste
Oil – for frying",10 minutes,20 minutes,30 minutes,4,kerala,Snack ,Vegetarian,"Sauté onions, green chilies, and grated carrots in a pan.
Add mashed potatoes, peas, garam masala, and salt to the pan and cook for a few minutes.
Prepare the dough with maida and water, then shape into small pockets.
Stuff the pockets with the filling and deep fry until golden brown.
Serve hot with tamarind chutney.",
Kerala Style Fish Bites,"Fish fillets (any firm fish) – 300g
Red chili powder – 1 tsp
Ginger-garlic paste – 1 tsp
Curry leaves – 1 sprig
Rice flour – 2 tbsp
Salt – to taste
Oil – for frying",10 minutes,15 minutes,25 minutes,4,kerala,Snack ,Non-Vegetarian,"Marinate the fish fillets with chili powder, ginger-garlic paste, curry leaves, and salt for 10 minutes.
Coat the fish with rice flour and deep fry until crispy.
Serve hot with a side of coconut chutney.
",
Chana Chaat (Chickpea Salad),"Boiled chickpeas – 1 cup
Onion – 1, chopped
Tomato – 1, chopped
Green chilies – 2, chopped
Lemon juice – 2 tbsp
Chaat masala – 1 tsp
Salt – to taste
Coriander leaves – chopped",10 minutes,0 minutes,10 minutes,4,kerala,Snack,Vegetarian,"In a bowl, combine boiled chickpeas, onions, tomatoes, green chilies, and coriander leaves.
Add lemon juice, chaat masala, and salt.
Mix well and serve immediately.",
Kerala Style Beef Ularthiyathu (Beef Roast),"Beef – 500g, cubed
Onion – 1, sliced
Ginger-garlic paste – 1 tbsp
Green chilies – 2, chopped
Curry leaves – 1 sprig
Garam masala – 1 tsp
Turmeric powder – ½ tsp
Salt – to taste
Oil – for cooking",10 minutes,30 minutes,40 minutes,4,kerala,Snack ,Non-Vegetarian,"Sauté onions, green chilies, and curry leaves in oil.
Add ginger-garlic paste, beef cubes, and spices.
Cook until the beef is tender and the oil separates.
Serve hot as a snack with parotta or bread.
",
Kabsa Chicken,"Basmati rice – 2 cups
Chicken – 500g, cut into pieces
Onion – 2, finely chopped
Tomato – 2, chopped
Garlic – 3 cloves, minced
Green chilies – 2, chopped
Ground cinnamon – 1 tsp
Ground cloves – ½ tsp
Ground cumin – 1 tsp
Ground coriander – 1 tsp
Ground black pepper – ½ tsp
Turmeric powder – ½ tsp
Bay leaves – 2
Raisins – 2 tbsp
Almonds – 2 tbsp, roasted
Ghee or oil – 3 tbsp
Salt – to taste
Water – 4 cups",10 minutes,50 minutes,60 minutes,4,kerala,Main course,Non-Vegetarian,"Heat ghee or oil in a large pot. Add the chopped onions and sauté until golden.
Add the garlic, green chilies, and chopped tomatoes. Cook for 5 minutes until soft.
Add the chicken pieces, followed by cinnamon, cloves, cumin, coriander, black pepper, turmeric, and salt. Cook until the chicken is browned.
Add water and bring to a boil. Once boiling, add the rice, bay leaves, and raisins. Reduce the heat, cover, and simmer for about 20-25 minutes or until the rice is cooked and the chicken is tender.
Garnish with roasted almonds and serve hot with a side of yogurt or salad.
",
Mandi Chicken,"Basmati rice – 2 cups
Chicken – 500g, whole or cut into pieces
Onion – 2, chopped
Tomato – 2, chopped
Garlic – 4 cloves, minced
Ground cumin – 1 tsp
Ground cinnamon – 1 tsp
Ground coriander – 1 tsp
Ground black pepper – ½ tsp
Ground turmeric – ½ tsp
Bay leaves – 2
Chicken broth – 4 cups
Almonds – for garnish
Raisins – for garnish
Ghee or oil – 2 tbsp",10 minutes,40 minutes,50 minutes,4,kerala,Main course,Non-Vegetarian,"Heat oil in a large pot and sauté the onions and garlic until golden.
Add the chicken pieces and brown them. Add tomatoes, cumin, coriander, cinnamon, black pepper, turmeric, and bay leaves. Cook for a few minutes.
Add rice and chicken broth, cover, and cook for 20 minutes until the rice is tender.
Garnish with roasted almonds, raisins, and serve hot.",
Fattoush Salad,"Romaine lettuce – 1 head, chopped
Cucumber – 1, chopped
Tomato – 1, chopped
Red onion – ½, thinly sliced
Radishes – 4, thinly sliced
Pita bread – 2, toasted and broken into pieces
Olive oil – 3 tbsp
Lemon juice – 2 tbsp
Ground sumac – 1 tsp
Salt – to taste
Fresh parsley – chopped",10 minutes,0 minutes,10 minutes,4,kerala,Salad,Vegetarian,"Combine lettuce, cucumber, tomato, onion, radishes, and parsley in a large bowl.
Toss with olive oil, lemon juice, sumac, and salt.
Add the toasted pita bread pieces and mix well before serving.
",
